,feature_name,score
0,hsa-miR-1343-3p,0.75686777
1,hsa-miR-221-3p,0.44115698
2,hsa-miR-4787-3p,0.4368218
3,hsa-miR-6717-5p,0.3379869
4,hsa-miR-4783-3p,0.29938763
5,hsa-miR-3160-5p,0.28378662
6,hsa-miR-6736-5p,0.2577896
7,hsa-miR-17-3p,0.2548632
8,hsa-miR-1185-1-3p,0.25138345
9,hsa-miR-6836-3p,0.2374335
10,hsa-miR-4730,0.22262952
11,hsa-miR-4456,0.21637426
12,hsa-miR-125a-3p,0.21369821
13,hsa-miR-4652-5p,0.21289133
14,hsa-miR-629-3p,0.20958811
15,hsa-miR-1307-3p,0.19975251
16,hsa-miR-3131,0.19427906
17,hsa-miR-4534,0.19237617
18,hsa-miR-195-5p,0.18870023
19,hsa-miR-1185-2-3p,0.18735944
20,hsa-miR-4258,0.17966655
21,hsa-miR-6515-5p,0.17386498
22,hsa-miR-1246,0.1655615
23,hsa-miR-6076,0.1627271
24,hsa-miR-1233-5p,0.15712763
25,hsa-miR-373-5p,0.15698078
26,hsa-miR-6741-5p,0.15218952
27,hsa-miR-122-5p,0.14772217
28,hsa-miR-4745-5p,0.134172
29,hsa-miR-4472,0.13412753
30,hsa-miR-3619-3p,0.13218305
31,hsa-miR-422a,0.12859225
32,hsa-miR-6746-5p,0.12845348
33,hsa-miR-5698,0.12829332
34,hsa-miR-4708-3p,0.12479621
35,hsa-miR-4727-3p,0.12204498
36,hsa-miR-516a-5p,0.1173406
37,hsa-miR-6087,0.11645019
38,hsa-miR-483-5p,0.11255503
39,hsa-miR-4728-5p,0.11234052
40,hsa-miR-6877-5p,0.10720452
41,hsa-miR-6831-5p,0.10708012
42,hsa-miR-8073,0.1050208
43,hsa-miR-6131,0.09996718
44,hsa-miR-6760-5p,0.099111706
45,hsa-miR-197-5p,0.097477764
46,hsa-miR-4697-5p,0.09669584
47,hsa-miR-4646-5p,0.095873326
48,hsa-miR-29b-3p,0.09506795
49,hsa-miR-320a,0.094976716
50,hsa-miR-3184-5p,0.092986114
51,hsa-miR-342-5p,0.091731854
52,hsa-miR-4750-3p,0.08816131
53,hsa-miR-296-3p,0.08677522
54,hsa-miR-6839-5p,0.08606163
55,hsa-miR-1203,0.081770435
56,hsa-miR-3679-5p,0.08167916
57,hsa-miR-16-5p,0.080319405
58,hsa-miR-4789-5p,0.07838277
59,hsa-miR-941,0.0776371
60,hsa-miR-625-3p,0.077480555
61,hsa-miR-320b,0.0770701
62,hsa-miR-6785-5p,0.07649094
63,hsa-miR-4658,0.0764119
64,hsa-miR-1914-5p,0.07383652
65,hsa-miR-4443,0.07382147
66,hsa-miR-4734,0.07374373
67,hsa-miR-4732-5p,0.07333035
68,hsa-miR-4532,0.07060139
69,hsa-miR-885-3p,0.06929418
70,hsa-miR-1224-5p,0.06839652
71,hsa-miR-4515,0.06586661
72,hsa-miR-1470,0.06579655
73,hsa-miR-7641,0.064583786
74,hsa-miR-6777-5p,0.06368808
75,hsa-miR-920,0.063295215
76,hsa-miR-646,0.062634565
77,hsa-miR-4483,0.062493514
78,hsa-miR-124-3p,0.06215573
79,hsa-miR-642b-3p,0.060940996
80,hsa-miR-4771,0.06093383
81,hsa-miR-3194-3p,0.060695343
82,hsa-miR-1254,0.059568774
83,hsa-miR-6088,0.05955301
84,hsa-miR-6812-5p,0.058744766
85,hsa-miR-6769a-5p,0.05691394
86,hsa-miR-4257,0.056730833
87,hsa-miR-4783-5p,0.055831403
88,hsa-miR-4447,0.05552712
89,hsa-miR-6763-5p,0.055194322
90,hsa-miR-6787-5p,0.053410605
91,hsa-miR-3917,0.05301298
92,hsa-miR-6794-5p,0.051878247
93,hsa-miR-4455,0.051858965
94,hsa-miR-551b-5p,0.051856678
95,hsa-miR-6887-5p,0.05170297
96,hsa-miR-629-5p,0.05154288
97,hsa-miR-663a,0.051451754
98,hsa-miR-1225-3p,0.05144578
99,hsa-miR-187-5p,0.050984856
100,hsa-miR-29b-1-5p,0.050570827
101,hsa-miR-1238-5p,0.047900748
102,hsa-miR-1915-5p,0.04739538
103,hsa-miR-6798-3p,0.047244795
104,hsa-miR-92b-5p,0.046920203
105,hsa-miR-4736,0.046018124
106,hsa-miR-191-5p,0.04593818
107,hsa-miR-939-5p,0.045862913
108,hsa-miR-504-3p,0.04514071
109,hsa-miR-4454,0.044980958
110,hsa-miR-6893-5p,0.044555634
111,hsa-miR-615-5p,0.044426236
112,hsa-miR-3162-3p,0.044420376
113,hsa-miR-3922-3p,0.044089273
114,hsa-miR-3156-5p,0.044009145
115,hsa-miR-3158-5p,0.043840177
116,hsa-miR-23b-3p,0.04374526
117,hsa-miR-4648,0.043107823
118,"hsa-miR-365a-3p, hsa-miR-365b-3p",0.04302967
119,hsa-miR-7975,0.042470165
120,hsa-miR-106a-3p,0.04221714
121,hsa-miR-548f-3p,0.0419048
122,hsa-miR-3664-3p,0.040944315
123,hsa-miR-550a-5p,0.040799513
124,hsa-miR-515-5p,0.040427074
125,hsa-miR-4485-5p,0.04010955
126,hsa-miR-760,0.039961956
127,hsa-miR-6070,0.03938838
128,hsa-miR-1202,0.039385594
129,hsa-miR-4755-3p,0.03898333
130,hsa-miR-133a-3p,0.038169943
131,hsa-miR-6765-3p,0.03752145
132,hsa-miR-1292-3p,0.037455887
133,hsa-miR-7108-3p,0.037287507
134,hsa-miR-548s,0.03663011
135,hsa-miR-5739,0.03556886
136,hsa-miR-575,0.034939293
137,hsa-miR-4480,0.034600526
138,hsa-miR-1227-3p,0.034510594
139,hsa-miR-3679-3p,0.03429486
140,hsa-miR-204-3p,0.033794146
141,hsa-miR-409-5p,0.033455767
142,hsa-miR-1247-3p,0.03306077
143,hsa-miR-4439,0.03298004
144,hsa-miR-3181,0.032900624
145,hsa-miR-514b-5p,0.032330006
146,hsa-miR-3610,0.03225586
147,hsa-miR-320d,0.032096766
148,hsa-miR-4462,0.032090444
149,hsa-miR-4675,0.031937387
150,hsa-miR-133b,0.031767573
151,hsa-miR-6501-3p,0.031610224
152,hsa-miR-3663-3p,0.031126462
153,hsa-miR-3122,0.030890651
154,hsa-miR-6726-5p,0.030885175
155,hsa-miR-3978,0.030870356
156,hsa-miR-182-5p,0.030522583
157,hsa-miR-328-5p,0.030468002
158,hsa-miR-486-5p,0.030376358
159,hsa-miR-4722-5p,0.030235233
160,hsa-miR-223-3p,0.030148715
161,hsa-miR-6845-5p,0.029909663
162,hsa-miR-5093,0.029748062
163,hsa-miR-4655-3p,0.029653372
164,hsa-miR-6778-5p,0.029584458
165,hsa-miR-518d-3p,0.029398585
166,hsa-miR-4286,0.029020244
167,hsa-miR-4740-5p,0.028933346
168,hsa-miR-6511b-5p,0.028596953
169,hsa-miR-6880-3p,0.028535675
170,hsa-miR-5008-5p,0.028359292
171,hsa-miR-6878-5p,0.028210064
172,hsa-miR-4800-3p,0.028199352
173,hsa-miR-1469,0.028125662
174,hsa-miR-191-3p,0.027905282
175,hsa-miR-92a-2-5p,0.027709331
176,hsa-miR-6757-5p,0.027553163
177,hsa-miR-6731-3p,0.027477648
178,hsa-miR-7977,0.027464624
179,hsa-miR-211-3p,0.027382376
180,hsa-miR-4505,0.026970299
181,hsa-miR-4436b-5p,0.026905939
182,hsa-miR-4529-3p,0.026744975
183,hsa-miR-1193,0.026498282
184,hsa-miR-5705,0.026330877
185,hsa-miR-498,0.025680037
186,hsa-miR-18a-5p,0.025539802
187,hsa-miR-8071,0.02536507
188,hsa-miR-3154,0.025291177
189,hsa-miR-4433a-3p,0.025270868
190,hsa-miR-4635,0.02503936
191,hsa-miR-208a-5p,0.02494967
192,hsa-miR-4497,0.024721827
193,hsa-miR-6768-5p,0.024639176
194,hsa-miR-6766-3p,0.024574602
195,hsa-miR-1273g-3p,0.024479078
196,hsa-miR-151b,0.024472773
197,hsa-miR-5010-5p,0.024472209
198,hsa-miR-4711-3p,0.024390168
199,hsa-miR-6784-5p,0.024060037
200,hsa-miR-6820-5p,0.02398985
201,hsa-miR-4632-5p,0.023986941
202,hsa-miR-6073,0.023827175
203,hsa-miR-8063,0.023825953
204,hsa-miR-6515-3p,0.023748077
205,hsa-miR-1234-3p,0.023671819
206,hsa-miR-519e-5p,0.023500828
207,hsa-miR-6795-3p,0.023424488
208,hsa-miR-320c,0.023094077
209,hsa-miR-3977,0.023012528
210,hsa-miR-642a-3p,0.023006968
211,hsa-miR-371b-5p,0.022931008
212,hsa-miR-4683,0.022846304
213,hsa-miR-6869-3p,0.022776032
214,hsa-miR-647,0.02269042
215,hsa-miR-150-3p,0.022539362
216,hsa-miR-3192-5p,0.02236578
217,hsa-miR-423-3p,0.022361852
218,"hsa-miR-527, hsa-miR-518a-5p",0.022130998
219,hsa-let-7a-5p,0.022123909
220,hsa-miR-22-3p,0.022116506
221,hsa-miR-1283,0.021958388
222,hsa-miR-6880-5p,0.021955833
223,hsa-miR-4430,0.02181046
224,hsa-miR-6849-5p,0.021474218
225,hsa-miR-6762-5p,0.021469513
226,hsa-miR-4633-3p,0.021393897
227,hsa-miR-4433b-5p,0.021393815
228,hsa-miR-619-5p,0.021384668
229,hsa-miR-33b-5p,0.021311995
230,hsa-miR-665,0.02115793
231,hsa-miR-520f-5p,0.02106145
232,hsa-miR-6785-3p,0.020912351
233,hsa-miR-636,0.020754473
234,hsa-miR-4449,0.02068082
235,hsa-miR-302c-5p,0.020580288
236,hsa-miR-4423-5p,0.020506943
237,hsa-miR-887-3p,0.0204128
238,hsa-miR-6875-5p,0.020348595
239,hsa-miR-6869-5p,0.020174691
240,hsa-miR-933,0.020165982
241,hsa-miR-3135b,0.020120332
242,hsa-miR-3162-5p,0.02011501
243,hsa-miR-31-3p,0.020102853
244,hsa-miR-92a-3p,0.020091532
245,hsa-miR-4435,0.020016538
246,hsa-miR-6798-5p,0.020007808
247,hsa-miR-7847-3p,0.019779613
248,hsa-miR-940,0.019773653
249,hsa-miR-28-3p,0.019700076
250,hsa-miR-6165,0.019607497
251,hsa-miR-556-5p,0.01958871
252,hsa-miR-4663,0.019537244
253,hsa-miR-6769a-3p,0.019524021
254,hsa-miR-6731-5p,0.01944779
255,hsa-miR-514a-5p,0.019268181
256,hsa-miR-663b,0.019202884
257,hsa-miR-195-3p,0.01911836
258,hsa-miR-4460,0.018880092
259,hsa-miR-4513,0.018649518
260,hsa-miR-4433a-5p,0.018558523
261,hsa-miR-134-5p,0.018485606
262,hsa-miR-6770-3p,0.018393368
263,hsa-miR-8089,0.01831505
264,hsa-miR-4707-3p,0.018237475
265,hsa-miR-4665-3p,0.01813994
266,hsa-miR-1236-5p,0.01799259
267,hsa-miR-4801,0.017837273
268,hsa-miR-574-3p,0.017830526
269,hsa-miR-4476,0.017822774
270,hsa-miR-495-5p,0.017743247
271,hsa-miR-4795-3p,0.017658869
272,hsa-miR-3689d,0.017599553
273,hsa-miR-4763-3p,0.017588435
274,hsa-miR-3616-5p,0.017509935
275,hsa-miR-4298,0.017335115
276,hsa-miR-107,0.017255405
277,hsa-miR-6826-5p,0.01725069
278,hsa-miR-211-5p,0.01701623
279,hsa-miR-365a-5p,0.017013326
280,hsa-miR-5572,0.016855488
281,hsa-miR-15a-5p,0.01677358
282,hsa-miR-370-3p,0.016684888
283,hsa-miR-6502-3p,0.016616378
284,hsa-miR-4640-3p,0.016616302
285,hsa-miR-6793-5p,0.016608493
286,hsa-miR-4687-5p,0.016543284
287,hsa-miR-640,0.016539453
288,hsa-miR-675-3p,0.01644829
289,hsa-miR-23a-3p,0.016371556
290,hsa-miR-6800-5p,0.016207589
291,hsa-miR-6729-3p,0.0161322
292,hsa-miR-4739,0.016047258
293,hsa-miR-4777-3p,0.015882023
294,hsa-miR-518e-3p,0.01572558
295,hsa-miR-4444,0.015721185
296,hsa-miR-3185,0.015477505
297,hsa-miR-548ap-5p,0.015473873
298,hsa-miR-193a-5p,0.015404718
299,hsa-miR-6858-5p,0.015305373
300,hsa-miR-6842-5p,0.015304733
301,hsa-miR-6879-5p,0.015229283
302,hsa-miR-548aw,0.014990781
303,hsa-miR-127-3p,0.014912197
304,hsa-miR-4664-5p,0.01490486
305,hsa-miR-6872-3p,0.014828292
306,hsa-miR-136-3p,0.014822193
307,hsa-miR-4649-5p,0.0147584
308,hsa-miR-6769b-5p,0.014747407
309,hsa-miR-17-5p,0.014744708
310,hsa-miR-6864-3p,0.014740594
311,hsa-miR-6859-5p,0.014594695
312,hsa-miR-6877-3p,0.014590694
313,hsa-miR-4417,0.01458964
314,hsa-miR-5007-5p,0.014513631
315,hsa-miR-491-5p,0.014508501
316,hsa-miR-4773,0.014505744
317,hsa-miR-5187-3p,0.014504602
318,hsa-miR-4529-5p,0.014499125
319,hsa-miR-4769-5p,0.014349551
320,hsa-miR-6752-5p,0.014259675
321,hsa-miR-6795-5p,0.014259647
322,hsa-miR-6124,0.014020484
323,hsa-miR-4450,0.013944743
324,hsa-miR-6765-5p,0.013933482
325,hsa-miR-3064-5p,0.013859502
326,hsa-miR-6805-3p,0.013845196
327,hsa-miR-532-3p,0.013781669
328,hsa-miR-3194-5p,0.013780863
329,hsa-miR-4419b,0.013779356
330,hsa-miR-423-5p,0.013778868
331,hsa-miR-7110-5p,0.013774065
332,hsa-miR-4259,0.013773546
333,hsa-miR-4695-5p,0.013696633
334,hsa-miR-5096,0.013696439
335,hsa-miR-6802-5p,0.013695974
336,hsa-miR-452-3p,0.0136903785
337,hsa-miR-4750-5p,0.013619041
338,hsa-miR-3944-5p,0.0135346055
339,hsa-miR-506-5p,0.013448253
340,hsa-miR-4429,0.013373549
341,hsa-miR-4742-5p,0.013366301
342,hsa-miR-638,0.013289996
343,hsa-miR-125b-1-3p,0.0132069895
344,hsa-miR-130a-3p,0.013123226
345,hsa-miR-2110,0.01305412
346,hsa-miR-4313,0.01305232
347,hsa-miR-1249-3p,0.0130436
348,hsa-miR-1910-5p,0.013033795
349,hsa-miR-3646,0.012973156
350,hsa-miR-1915-3p,0.012881156
351,hsa-miR-4470,0.012807984
352,hsa-miR-5189-5p,0.012806296
353,hsa-miR-668-5p,0.01280342
354,hsa-miR-371a-5p,0.01279565
355,hsa-miR-3184-3p,0.012723323
356,hsa-miR-6832-3p,0.01264239
357,hsa-miR-6511a-5p,0.012559371
358,hsa-miR-1199-5p,0.01255763
359,hsa-miR-494-3p,0.012492482
360,hsa-miR-192-5p,0.012483629
361,hsa-miR-6825-3p,0.012402808
362,hsa-miR-4492,0.01240039
363,hsa-miR-3195,0.012400047
364,hsa-miR-4433b-3p,0.012395981
365,hsa-miR-6125,0.0123221865
366,hsa-miR-433-3p,0.012317565
367,hsa-miR-31-5p,0.012245218
368,hsa-miR-4757-5p,0.012077709
369,hsa-miR-339-5p,0.012063057
370,hsa-miR-6819-5p,0.011990361
371,hsa-miR-3142,0.011914327
372,hsa-miR-487a-3p,0.0118404385
373,hsa-miR-6075,0.0118339425
374,hsa-miR-4533,0.011832697
375,hsa-miR-6861-5p,0.011830964
376,hsa-miR-484,0.011744394
377,hsa-miR-548o-3p,0.011676713
378,hsa-miR-5701,0.011664457
379,hsa-miR-29c-5p,0.011613825
380,hsa-miR-6786-5p,0.011516777
381,hsa-miR-3132,0.011512293
382,hsa-miR-4665-5p,0.011498523
383,hsa-miR-3177-5p,0.011432509
384,hsa-miR-6799-5p,0.011432458
385,hsa-miR-6510-5p,0.011430986
386,hsa-miR-19b-3p,0.0114278225
387,hsa-miR-1909-3p,0.011426373
388,hsa-miR-6132,0.011425767
389,hsa-miR-4706,0.011350191
390,hsa-miR-92b-3p,0.0113458475
391,hsa-miR-6090,0.01134152
392,hsa-miR-5092,0.011340277
393,hsa-miR-4725-5p,0.011267499
394,hsa-miR-3648,0.011265591
395,hsa-miR-519d-5p,0.01125516
396,hsa-miR-6834-5p,0.011182711
397,hsa-miR-6895-5p,0.01118165
398,hsa-miR-6761-3p,0.01109799
399,hsa-miR-4796-3p,0.011026973
400,hsa-miR-3927-3p,0.011022929
401,hsa-miR-8064,0.01102263
402,hsa-miR-7849-3p,0.010874486
403,hsa-miR-26a-1-3p,0.010873543
404,hsa-miR-328-3p,0.010864541
405,hsa-miR-6819-3p,0.01085991
406,"hsa-miR-519c-5p, hsa-miR-523-5p, hsa-miR-518e-5p, hsa-miR-522-5p, hsa-miR-519a-5p, hsa-miR-519b-5p",0.010859553
407,hsa-let-7g-5p,0.010856666
408,hsa-miR-4528,0.010852476
409,hsa-miR-875-5p,0.010767241
410,hsa-miR-1908-3p,0.010706025
411,hsa-miR-937-5p,0.010701003
412,hsa-miR-8060,0.010698373
413,hsa-miR-1908-5p,0.010534983
414,hsa-miR-7851-3p,0.010533496
415,hsa-miR-4434,0.0105304625
416,hsa-miR-6822-5p,0.0104528265
417,hsa-miR-30a-3p,0.010374324
418,hsa-miR-224-5p,0.010372928
419,hsa-miR-4638-3p,0.010366155
420,hsa-miR-572,0.01028198
421,hsa-miR-6782-5p,0.01021053
422,hsa-miR-6766-5p,0.010206164
423,"hsa-miR-526a, hsa-miR-520c-5p, hsa-miR-518d-5p",0.010143546
424,hsa-miR-4276,0.010134866
425,hsa-miR-205-5p,0.010131965
426,hsa-miR-20a-3p,0.01012156
427,hsa-miR-564,0.01005147
428,hsa-miR-6825-5p,0.0100425705
429,hsa-miR-4652-3p,0.009975449
430,hsa-miR-1260b,0.009972804
431,hsa-miR-3119,0.0099724475
432,hsa-miR-4651,0.009972388
433,hsa-miR-4733-3p,0.009971642
434,hsa-miR-4688,0.009970879
435,hsa-miR-602,0.0099682165
436,hsa-miR-4420,0.009968128
437,hsa-miR-520a-5p,0.009967832
438,hsa-miR-6883-3p,0.009966324
439,hsa-miR-5195-3p,0.009966322
440,hsa-miR-4738-3p,0.009963013
441,hsa-miR-490-3p,0.0099629825
442,hsa-miR-3670,0.009960026
443,hsa-miR-6881-3p,0.009957153
444,hsa-miR-1288-3p,0.009891959
445,hsa-miR-6827-5p,0.009889927
446,hsa-miR-4526,0.0098876
447,hsa-miR-198,0.00981566
448,hsa-miR-5586-5p,0.009809182
449,hsa-miR-6748-5p,0.009807313
450,hsa-miR-7109-5p,0.009807029
451,hsa-miR-5581-5p,0.009805472
452,hsa-miR-3150a-3p,0.009802674
453,hsa-miR-3663-5p,0.0097994795
454,hsa-miR-23a-5p,0.009730376
455,hsa-miR-3117-3p,0.009725751
456,hsa-miR-4440,0.009641962
457,hsa-miR-488-3p,0.009638633
458,hsa-miR-1231,0.009566121
459,hsa-miR-126-5p,0.009564617
460,hsa-miR-7153-5p,0.009557267
461,hsa-miR-4792,0.009553574
462,hsa-miR-4485-3p,0.009484715
463,hsa-miR-4701-3p,0.0094827125
464,hsa-miR-4299,0.009478243
465,hsa-miR-4667-5p,0.009477656
466,hsa-miR-4638-5p,0.009407742
467,hsa-miR-711,0.009403576
468,hsa-miR-30e-3p,0.009401579
469,hsa-miR-650,0.009400999
470,hsa-miR-3616-3p,0.00940048
471,hsa-miR-3127-5p,0.009397752
472,hsa-miR-3141,0.009396013
473,hsa-miR-658,0.009325154
474,hsa-miR-6722-5p,0.009320446
475,hsa-miR-3153,0.0093130525
476,hsa-miR-367-5p,0.009237905
477,hsa-miR-3937,0.009236426
478,hsa-miR-8485,0.0091543915
479,hsa-miR-4747-3p,0.009083822
480,hsa-miR-3688-5p,0.009080841
481,hsa-miR-7106-3p,0.009073614
482,hsa-miR-145-5p,0.009067927
483,hsa-miR-4519,0.008998653
484,hsa-miR-30e-5p,0.008993793
485,hsa-miR-320e,0.00899352
486,hsa-miR-4723-5p,0.008918611
487,hsa-miR-6835-5p,0.0089161
488,hsa-miR-4763-5p,0.008842168
489,hsa-miR-3152-5p,0.008837484
490,hsa-miR-4743-5p,0.008835111
491,hsa-miR-6724-5p,0.008833641
492,hsa-miR-345-3p,0.008833583
493,hsa-let-7b-5p,0.00883124
494,hsa-miR-6509-5p,0.008682051
495,hsa-miR-1273g-5p,0.008671553
496,hsa-miR-4727-5p,0.008589593
497,hsa-miR-518a-3p,0.008589323
498,hsa-miR-718,0.00851286
499,hsa-miR-3151-5p,0.008511792
500,hsa-miR-4685-3p,0.008506894
501,hsa-miR-4428,0.008504228
502,hsa-miR-4253,0.008437557
503,hsa-miR-513a-5p,0.008431094
504,hsa-miR-4758-5p,0.008428635
505,hsa-miR-4673,0.008425442
506,hsa-miR-6730-5p,0.008423682
507,hsa-miR-3145-5p,0.008422421
508,hsa-miR-3187-3p,0.008350706
509,hsa-miR-5001-5p,0.008346474
510,hsa-miR-4431,0.008346293
511,hsa-miR-6868-3p,0.008345124
512,hsa-miR-20b-5p,0.008339791
513,hsa-let-7c-5p,0.00826414
514,hsa-miR-505-3p,0.008263432
515,hsa-miR-3155a,0.008260033
516,hsa-miR-93-5p,0.008259989
517,hsa-miR-6865-3p,0.008188918
518,hsa-miR-6830-5p,0.008181073
519,hsa-miR-4322,0.008174897
520,hsa-miR-4726-5p,0.008106989
521,hsa-miR-7107-5p,0.00810365
522,hsa-miR-4721,0.008102312
523,hsa-miR-6824-5p,0.008100455
524,hsa-miR-4790-5p,0.008099702
525,hsa-miR-3622a-5p,0.008095467
526,hsa-miR-4442,0.00802592
527,hsa-miR-2116-3p,0.008025156
528,hsa-miR-302a-5p,0.0080209775
529,hsa-miR-4270,0.007945187
530,hsa-miR-4687-3p,0.007941089
531,hsa-miR-662,0.007939906
532,hsa-miR-1275,0.007936411
533,hsa-miR-586,0.007934806
534,hsa-miR-1207-5p,0.007873056
535,hsa-miR-1249-5p,0.007867784
536,hsa-miR-8072,0.007864437
